;;;
Jumlah Cabang;NO;LOKASI;PELAYANAN LLP
1;1;Cabang  JATSC;"1. Aerodrome Control Services
2. Approach Control Surveillance/Approach Control Procedural
3. Area Control Surveillance/Area Control Procedural
4. Flight Information Services"
2;2;Cabang  MATSC;"1. Aerodrome Control Services
2. Approach Control Surveillance/Approach Control Procedural
3. Area Control Surveillance/Area Control Procedural
4. Flight Information Services"
;3;Cabang Pembantu Palu;1. Approach Control Procedural and Aerodrome Control Services Combined
;4;Cabang Pembantu Luwuk;1. Aerodrome Control Services
;5;Unit Mamuju;1. Aerodrome Flight Information Services (AFIS)
;6;Unit Masamba;1. Aerodrome Flight Information Services (AFIS)
;7;Unit Poso;1. Aerodrome Flight Information Services (AFIS)
;8;Unit Toli Toli;1. Aerodrome Flight Information Services (AFIS)
;9;Unit Buol;1. Aerodrome Flight Information Services (AFIS)
;10;Unit Tana Toraja;1. Aerodrome Flight Information Services (AFIS)
;11;Unit Mamasa;CTAF
;12;Unit Bone;1. Aerodrome Flight Information Services (AFIS)
;13;Unit Seko;1. Aerodrome Flight Information Services (AFIS)
;14;Unit Rampi;1. Aerodrome Flight Information Services (AFIS)
;15;Unit Bua;1. Aerodrome Flight Information Services (AFIS)
;16;Unit Selayar;1. Aerodrome Flight Information Services (AFIS)
;17;Unit Tojo Una-Una;1. Aerodrome Flight Information Services (AFIS)
;18;Unit Banggai Laut;
3;19;Cabang  Medan;"1. Aerodrome Control Services
2. Approach Control Surveillance/Approach Control Procedural
3. Flight Information Services"
;20;Cabang Pembantu Gunung sitoli;1. Aerodrome Control Services
;21;Unit Siborong Borong;1. Approach Control Procedural and Aerodrome Control Services Combined
;22;Unit Aek Godang;1. Aerodrome Flight Information Services (AFIS)
;23;Unit Lasondre;1. Aerodrome Flight Information Services (AFIS)
;24;Unit Sibolga;1. Aerodrome Flight Information Services (AFIS)
;25;Unit Parapat;1. Aerodrome Flight Information Services (AFIS)
;26;Unit Mandailing Natal;1. Aerodrome Flight Information Services (AFIS)
